iter	Accuracy	MultiClass
226	0.8676150347	0.440822036
227	0.8676150347	0.4407215967
228	0.8676408056	0.4406621003
229	0.8676279202	0.4405380621
230	0.8676279202	0.4404042521
231	0.8676408056	0.4402786953
232	0.8676665765	0.4400994291
233	0.86776966	0.4399940021
234	0.8678212017	0.4398939656
235	0.8678212017	0.4398073623
236	0.8678212017	0.4396448681
237	0.8678212017	0.4395764547
238	0.8678985143	0.4394924553
239	0.8679500561	0.4393677735
240	0.8679758269	0.4392728172
241	0.8679371706	0.4391624092
242	0.8679500561	0.439073536
243	0.8679887124	0.4389202004
244	0.868066025	0.4387831131
245	0.8680402541	0.4386688591
246	0.8681175667	0.4385676409
247	0.8680789104	0.43845733
248	0.8681175667	0.4383166224
249	0.8681433376	0.4381350123
250	0.8681819939	0.4380051291
251	0.8682077648	0.4378878718
252	0.8681948793	0.4377903119
253	0.8681433376	0.4376389635
254	0.8681304521	0.4375451871
255	0.8681948793	0.4373804446
256	0.8682206502	0.4372773334
257	0.8681819939	0.4371083926
258	0.8681819939	0.4369446865
259	0.8682464211	0.4368956964
260	0.8682593065	0.4367578286
261	0.8682979628	0.4366773695
262	0.8683108482	0.4365493788
263	0.8682979628	0.4364815624
264	0.8683108482	0.4363821064
265	0.8682464211	0.4361866991
266	0.8683237337	0.4360552005
267	0.8683108482	0.4359864425
268	0.8683366191	0.4358526009
269	0.8683108482	0.4357830728
270	0.8682850774	0.4356738325
271	0.8682593065	0.4355937176
272	0.8683366191	0.4354734383
273	0.8683108482	0.4352855433
274	0.8683237337	0.4352386268
275	0.8683752754	0.435079372
276	0.8683752754	0.4349522639
277	0.8683752754	0.4348779692
278	0.8683881609	0.4348205214
279	0.868452588	0.4346859024
280	0.8684139317	0.4346297048
281	0.8684010463	0.4345064537
282	0.868452588	0.4343516727
283	0.8685041298	0.4342219823
284	0.8684783589	0.4340854691
285	0.8685427861	0.4339953602
286	0.8685556715	0.4338906045
287	0.8685556715	0.4338046007
288	0.8685427861	0.4336924808
289	0.8685943278	0.4336150974
290	0.8685427861	0.4334920134
291	0.868568557	0.4333012133
292	0.868658755	0.4332017977
293	0.8686458696	0.4331072985
294	0.8686716404	0.4329430327
295	0.8687489531	0.4326612296
296	0.8687102968	0.4325698754
297	0.8687747239	0.4323899319
298	0.8688391511	0.4323021575
299	0.8688004948	0.4322131738
